Questioncode,tyeofattachment(or),tyeofquestion(attachmentorlausibility),tyeofmeasure(answeror),subj1,subj2,subj3,subj4,subj5,subj6,subj7,subj8,subj9,subj10,subj11,subj12,subj13
11,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
110,1,1,2,8.27,4.34,10.63,9.52,7.94,23.91,9.71,5.3,7.21,6.6,8.94,7.64,7.78
111,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
111,1,1,2,10.13,8.02,7.17,7.58,5.87,8.65,12.81,7.47,5.26,4.09,7.12,6.93,6.67
112,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
112,1,1,2,8.39,4.52,5.07,8.93,7.32,6.11,15.04,8.56,6.88,6.9,6.66,7.7,5.51
113,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1
113,1,1,2,7.82,7.67,8.23,7.73,5.85,6.49,6.99,4.92,7.42,3.03,8.99,9.79,3.64
114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
114,1,1,2,5.46,4.96,7.09,5.88,4.43,4.24,6.83,4.15,3.96,2.61,4.59,6.52,5.28
115,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1
115,1,1,2,9.67,4.89,6.48,10.9,8.33,21.31,13.91,17.99,7.58,4.01,10.31,13.49,8.25
116,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
116,1,1,2,6.6,5.38,5.74,8.41,7.64,7.15,10.42,7.04,3.57,7.83,7.57,7.56,6.81
117,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
117,1,1,2,8.33,4.59,6,7.58,8.03,8.46,15.27,7.27,7.14,5.58,6.97,11.44,5.54
118,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
118,1,1,2,7.54,4.43,7.48,8.43,9.78,9.26,10.4,8.26,5.17,4.13,5.98,9.28,7.57
119,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
119,1,1,2,9.02,10.2,8.42,7.79,6.95,6.86,5.43,7.42,7.58,4.22,6.21,7.3,7.89
11,1,1,2,6.9,4.94,3.68,4.97,6.02,6.98,10.03,5.49,6.18,5.33,3.77,7.76,4.64
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1
120,1,1,2,7.94,6.03,6.94,6.71,7.86,13.91,8.31,8.58,6.36,8.23,6.78,8.44,5.98
121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
121,1,1,2,5.99,5.21,4.7,5.8,7.21,6.36,8.55,6.43,5.44,5.34,4,7.88,5.07
122,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
122,1,1,2,10.18,8.4,12.12,12.48,4.93,9.77,9.75,8.56,5.65,4.5,9.86,6.65,7.34
123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
123,1,1,2,7.44,7.55,5.83,8.31,7.64,8.96,4.98,6.68,5.41,5.73,7.62,7.6,6.78
124,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1
124,1,1,2,15.68,6.7,9.66,10.44,15.63,9.81,12.39,6.82,6.53,2.54,7.27,6.76,7.38
125,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
125,1,1,2,10.43,4.67,6.49,6.21,7.82,8.54,8.83,5.53,5,4.81,12.61,8.31,6.85
126,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
126,1,1,2,8.39,5.51,6.91,6.32,6.89,6.13,8.25,6.51,3.75,6.67,5.05,7.12,4.99
127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
127,1,1,2,6.35,6.89,5.5,6.03,4.88,5.63,8,5.21,4.82,2.95,5.96,5.74,7.29
128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
128,1,1,2,7.05,4.45,4.95,5.91,5.74,5.12,14.73,5.33,4.5,3.72,5.1,7.67,5.74
129,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
129,1,1,2,7.63,4.45,8.48,8.65,6.44,7.86,8.79,6.14,7.9,3.2,7.6,8.38,6.47
12,1,1,2,7.89,6.17,8.82,8.2,8.55,7.49,14.63,10.1,4.39,3.13,8.29,7.8,6.53
13,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
130,1,1,2,8.65,6.1,5.24,5.8,8.04,6.95,13.14,5.67,4.18,3.6,5.67,9.48,6.31
131,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
131,1,1,2,6.55,6.14,5.49,7.2,5.49,7.31,14.66,6.79,5.27,6.41,7.07,4.69,6.88
132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
132,1,1,2,6.39,7.45,6.21,5.92,4.7,7.44,6.81,5.49,4.36,3.63,7.05,6.49,7.14
133,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1
133,1,1,2,10.7,11.08,9.36,9.05,6.87,4.8,7.96,7.32,6.15,7.76,5.87,7.69,4.92
134,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0
134,1,1,2,6.19,6.2,6.97,8.71,7.15,14.2,6.57,6.47,8.34,5.91,7.92,6.77,5.51
135,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1
