Attachment	Adj.	N2	acc	plaus
NA	kurzen	Leine	0.84	4.26
NA	kubanischen	Zigarre	0.9	2.8
NA	seltenen	Teilen	0.9	3.5
NA	klugen	Sprüchen	0.95	3.9
NA	handlichen	Nachfüller	0.8	3.4
NA	gelben	Etikett	1	4.1
NA	besten	Arbeitern	0.95	3.95
NA	frischen	Farbe	1	4.3
NA	braunen	Kreide	1	3.7
NA	flauschigen	Teddy	0.95	3.25
NA	kuscheligen	Bären	0.9	2.95
NA	zarten	Fingern	0.85	3.05
NA	feinen	Händen	0.9	3.3
NA	hübschen	Kleid	0.9	3.55
NA	strahlenden	Lächeln	0.75	3.95
NA	frischen	Petersilie	1	4.45
NA	feinen	Flickzeug	0.85	3.1
NA	höheren	Position	0.85	4
NA	eigenen	Büro	0.85	2.5
NA	einzigen	Pistole	1	3.7
NA	rasselnden	Stofftier	0.85	3.4
NA	roten	Markierung	1	4.55
NA	wertigen	Objektiv	1	3.95
NA	weißen	Rosen	0.95	4.4
NA	mobilen	Handynummer	1	4.1
NA	seidigen	Anzug	0.8	3.1
NA	groben	Salz	0.8	4.2
NA	klebrigen	Öl	0.9	3.85
NA	fleißigen	Tagelöhnern	0.85	3.2
NA	dicken	Seil	0.95	3.3
NA	heißen	Kaffee	1	4.55
NA	lokalen	Kräutern	0.95	4.5
NA	bunten	Streuseln	0.8	4.15
NA	primären	Anschluss	1	3.9
NA	gestrigen	Suppe	1	4.5
NA	modernen	Tastatur	1	4.75
NA	unhöflichen	Manieren	0.95	3.68
NA	stacheligen	Zäunen	0.89	4.37
NA	fraglichen	Argumenten	1	3.95
NA	viel	Liebe	0.89	3.74
NA	dreisten	Art	1	3.58
NA	anonymen	Telefon	0.95	3.68
NA	organischen	Butter	0.95	3.47
NA	rot-weißen	Absperrband	0.95	4.26
NA	neuen	Sattel	0.89	4
NA	wenigen	Fehlern	0.89	3.79
NA	aufwändigen	Behandlung	0.79	2.58
NA	schönen	Handschrift	0.95	3.84
NA	wertvollen	Information	0.95	4.37
NA	robusten	Stromnetz	0.79	4.16
NA	lauten	Musik	0.74	2.74
NA	langen	Stock	1	3.58
NA	cleveren	Ausreden	1	4.63
NA	dynamischen	Rhetorik	0.95	4.11
NA	digitalen	Funkgerät	0.95	3.95
NA	großen	Fernglas	0.8	3.45
NA	spitzen	Schnabel	1	3.45
NA	kräftigen	Flossen	1	3.3
NA	schmutzigen	Werkzeug	0.8	3.1
NA	aggressiven	Mückenspray	0.95	3.35
NA	wedelnden	Schwanz	1	3.55
NA	schrillen	Blaulicht	0.75	2.5
NA	weißen	Schnurrhaar	1	4.1
NA	brandneuen	Stethoskop	0.85	3.85
NA	dreckigen	Rohrzange	0.8	3.95
NA	wackeligen	Zahn	0.75	4
NA	pelzigen	Armen	1	4.2
NA	duftenden	Leckerli	0.75	3.3
NA	akustischen	Gitarre	0.9	4.05
NA	lieblichen	Geige	0.9	3.6
NA	klapprigen	Rollatoren	0.95	3.8
NA	faltbaren	Trage	0.9	3.6
NA	schweren	Motorrad	0.9	4.1
NA	sperrigen	Kinderwägen	0.85	3.65
NA	roten	Scheren	0.9	2.65
NA	grauen	Rüssel	1	4.2
NA	weichen	Schnauze	0.95	4.32
NA	gelben	Kellen	0.74	2.53
NA	bunten	Perücke	0.79	3.16
