Condition,Pairnumber,ID,Determiner,N0,Verb,Determiner,N1,Preposition,Determiner,Adjective,N2,"Attachment(verbattached-VA,nounattached-NA",Unambiguous?,verb_number
1,101,1101,Der,Bänker,belästigt,die,Sekretärin,mit,der,kubanischen,Zigarre,VA,0,21
1,101,1101,Der,Bänker,engagiert,die,Sekretärin,mit,der,kubanischen,Zigarre,NA,1,58
1,102,1102,Der,Demonstrant,beobachtet,den,Polizisten,mit,dem,schwarzen,Schlagstock,NA,1,28
1,102,1102,Der,Demonstrant,verprügelt,den,Polizisten,mit,dem,schwarzen,Schlagstock,VA,0,143
1,103,1103,Der,Produzent,beliefert,die,Fabriken,mit,den,seltenen,Teilen,VA,0,22
1,103,1103,Der,Produzent,zählt,die,Fabriken,mit,den,seltenen,Teilen,NA,0,159
1,104,1104,Die,Ärztin,berät,die,Schwangeren,mit,einer,neuartigen,Milchpumpe,NA,0,30
1,104,1104,Die,Ärztin,versorgt,die,Schwangeren,mit,einer,neuartigen,Milchpumpe,VA,0,148
1,105,1105,Der,Unternehmer,besänftigt,den,Geldanleger,mit,den,klugen,Sprüchen,VA,0,33
1,105,1105,Der,Unternehmer,bevorzugt,den,Geldanleger,mit,den,klugen,Sprüchen,NA,0,45
1,106,1106,Die,Cousine,erneuert,den,Raumduft,mit,einem,handlichen,Nachfüller,VA,0,64
1,106,1106,Die,Cousine,verschenkt,den,Raumduft,mit,einem,handlichen,Nachfüller,NA,1,145
1,107,1107,Der,Bote,befördert,die,Kisten,mit,dem,gelben,Etikett,NA,1,14
1,107,1107,Der,Bote,markiert,die,Kisten,mit,dem,gelben,Etikett,VA,0,104
1,108,1108,Die,Alte,ruft,den,Enkel,mit,der,ungesunden,Schokolade,NA,0,112
1,108,1108,Die,Alte,tröstet,den,Enkel,mit,der,ungesunden,Schokolade,VA,0,122
1,109,1109,Der,Chemiker,verschließt,den,Flakon,mit,einem,praktischen,Pumpspender,VA,0,146
1,109,1109,Die,Familie,versieht,den,Brief,mit,einer,höflichen,Beschwerde,VA,1,147
1,110,1110,Die,Chefin,gratuliert,dem,Mitarbeiter,mit,der,faltbaren,Karte,VA,0,187
1,110,1110,Die,Nichte,gratuliert,der,Patentante,mit,der,riesigen,Torte,VA,0,187
1,111,1111,Der,Maler,begutachtet,die,Wand,mit,der,frischen,Farbe,NA,1,169
1,111,1111,Der,Maler,bemalt,die,Wand,mit,der,frischen,Farbe,VA,0,174
