surveynum,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
age,24,31,30,25,26,25,27,21,33,22,28,24,20,28,29,25,19
ageTime,4.87,6.31,35.82,4.68,10.02,5.86,6.62,4.51,7.53,5.13,6.63,7.23,6.79,6.54,8.39,12.45,12.03
code,94603,40924,82446,18309,8104,99148,264,71743,52495,93914,15195,11061,80567,69908,6365,76679,69861
codeTime,,,,,,,,,,,,,,,,,
correct1,,,,,,,,,,,,,,,,,
correct1Time,,3.22,,2.92,3.28,2.59,3.55,2.65,4.43,,2.72,3.51,3.71,5.22,3.45,6.13,2.7
correct2,,,,,,,,,,,,,,,,,
correct2Time,2.83,2.97,2.42,6.11,2.67,1.91,2.79,1.56,2.36,1.88,2.73,2.82,3.02,,3,7.98,2.03
correct3,,,,,,,,,,,,,,,,,
correct3Time,1.62,2.52,2.34,5.08,2.77,2.66,2.61,2.35,2.77,1.93,3.19,,3.06,2.99,2.27,,2.22
correct4,,,,,,,,,,,,,,,,,
correct4Time,2.9,1.54,2.06,2.57,2.72,2.28,1.84,2.5,2.78,1.69,3.83,2.22,3.4,3.3,2,2.87,2.39
datestamp,10/12/2017 19:11,10/12/2017 19:20,10/13/2017 15:47,10/14/2017 11:33,10/15/2017 0:08,10/15/2017 12:56,10/30/2017 9:52,10/15/2017 17:56,10/16/2017 0:58,10/16/2017 13:50,10/16/2017 19:37,10/17/2017 10:11,10/26/2017 8:59,10/17/2017 20:04,10/17/2017 23:26,10/19/2017 12:23,10/28/2017 20:06
description,,,,,,,,,,,,,,,,,
descriptionTime,2.54,52.28,40.4,57.29,113.49,54.16,50.49,41.34,54.28,50.05,89.4,398.43,33.63,125.39,71.43,112.48,54.05
education,Bachelor (Universit?¤t oder Fachhochschule),Master (Universit?¤t oder Fachhochschule),Master (Universit?¤t oder Fachhochschule),Bachelor (Universit?¤t oder Fachhochschule),Master (Universit?¤t oder Fachhochschule),Bachelor (Universit?¤t oder Fachhochschule),Master (Universit?¤t oder Fachhochschule),Abitur (Allgemeine Hochschulreife),Master (Universit?¤t oder Fachhochschule),Abitur (Allgemeine Hochschulreife),Master (Universit?¤t oder Fachhochschule),Bachelor (Universit?¤t oder Fachhochschule),Abitur (Allgemeine Hochschulreife),Abitur (Allgemeine Hochschulreife),Master (Universit?¤t oder Fachhochschule),Abitur (Allgemeine Hochschulreife),Abitur (Allgemeine Hochschulreife)
educationTime,16.84,6.29,6.42,5.31,6.59,6.3,6.19,7.3,11.4,4.95,6.41,8.8,6.76,6.6,19.16,13.79,6.3
false1,,,,,,,,,,,,,,,,,
false1Time,3.34,,4.08,,,,,,,2.52,,,,,,,
