Condition;Pair number;ID;Determiner;N0;Verb;Determiner;N1;Preposition;Determiner;Adjective;N2;Attachment (verb attached - VA, noun attached - NA;Unambiguous?;Verb_number
1;13;113;Der;Busfahrer;Ì¦ffnet;die;TÌ_r;mit;einem;veralteten;Druckknopf;VA;0;1
1;91;191;Die;Technikerin;Ì¦ffnet;das;Fenster;mit;dem;silbernem;Knauf;VA;0;1
2;10;210;Der;Papagei;Ì_rgert;den;Pilger;mit;dem;spitzen;Schnabel;VA;0;2
2;10;210;Der;Pilger;Ì_rgert;den;Papagei;mit;dem;spitzen;Schnabel;NA;0;2
2;27;227;Der;Biker;Ì_berholt;den;Reiter;mit;dem;schweren;Motorrad;VA;0;3
2;27;227;Der;Reiter;Ì_berholt;den;Biker;mit;dem;schweren;Motorrad;NA;0;3
1;80;180;Der;Rennfahrer;Ì_berholt;die;Konkurrenz;mit;dem;getunten;Ferrari;VA;0;4
1;90;190;Das;Team;Ì_berholt;den;Gegner;mit;dem;letzten;Punkt;VA;0;4
2;43;243;Der;VogelstrauÌÙ;Ì_berholt;den;Pinguin;mit;den;langen;Beinen;VA;0;5
2;43;243;Der;Pinguin;Ì_berholt;den;VogelstrauÌÙ;mit;den;langen;Beinen;NA;0;5
2;40;240;Die;KÌ¦nigin;Ì_berragt;die;Sklavin;mit;der;goldenen;Krone;NA;0;6
2;40;240;Die;Sklavin;Ì_berragt;die;KÌ¦nigin;mit;der;goldenen;Krone;VA;0;6
2;15;215;Die;Tochter;Ì_berrascht;die;Zahnfee;mit;dem;wackeligen;Zahn;VA;0;7
2;15;215;Die;Zahnfee;Ì_berrascht;die;Tochter;mit;dem;wackeligen;Zahn;NA;0;7
1;18;118;Die;ChÌ¦re;Ì_bertÌ¦nen;das;Orchester;mit;der;eintÌ¦nigen;Harmonie;VA;0;8
1;93;193;Der;Trompeter;Ì_bertÌ¦nt;die;Geige;mit;dem;schiefen;Ton;VA;0;8
1;67;167;Die;Partei;Ì_berzeugt;eine;Untergruppe;mit;einigen;fraglichen;Argumenten;VA;0;9
1;98;198;Der;Verein;Ì_berzeugt;ein;Komitee;mit;einer;dynamischen;Rhetorik;VA;0;9
2;30;230;Die;Regisseurin;animiert;die;TÌ_nzerin;mit;dem;bunten;KostÌ_m;NA;0;10
2;30;230;Die;TÌ_nzerin;animiert;die;Regisseurin;mit;dem;bunten;KostÌ_m;VA;0;10
1;35;135;Der;GroÌÙvater;backt;die;Brezel;mit;dem;groben;Salz;NA;0;11
1;46;146;Der;Konditor;backt;den;Kuchen;mit;den;bunten;Streuseln;NA;0;11
2;28;228;Die;MÌ_tter;bedrÌ_ngen;die;ObsthÌ_ndler;mit;den;sperrigen;KinderwÌ_gen;VA;0;12
2;28;228;Die;ObsthÌ_ndler;bedrÌ_ngen;die;MÌ_tter;mit;den;sperrigen;KinderwÌ_gen;NA;0;12
2;17;217;Der;KÌ¦nig;beeindruckt;den;Ritter;mit;der;eisernen;Lanze;NA;0;13
2;17;217;Der;Ritter;beeindruckt;den;KÌ¦nig;mit;der;eisernen;Lanze;VA;0;13
1;28;128;Der;FÌ¦rster;befÌ¦rdert;das;Holz;mit;der;roten;Markierung;NA;1;14
1;53;153;Der;Kurier;befÌ¦rdert;die;Zeitung;mit;dem;heutigen;Datum;NA;1;14
