Det;N0;Verb;Det;N1;Prep;Det;Adj;N2;condition;pair_number;ID;Attachment;verb_number;Question;Answer
Das;Amt;empfiehlt;einen;Arbeiter;mit;einer;höheren;Position.;1;2;12;NA;60;Wer spricht eine Empfehlung aus?;Amt/Arbeiter
Das;Amt;belohnt;einen;Arbeiter;mit;einer;höheren;Position.;1;2;12;VA;25;;
Der;Wärter;streichelt;den;Elefant;mit;dem;grauen;Rüssel.;2;3;23;NA;137;Wer wird gestreichelt?;Elefant/W�rter
Der;Elefant;streichelt;den;Wärter;mit;dem;grauen;Rüssel.;2;3;23;VA;137;;
Der;Wanderer;schubst;den;Bock;mit;dem;gekrümmten;Horn.;2;7;27;NA;132;;
Der;Bock;schubst;den;Wanderer;mit;dem;gekrümmten;Horn.;2;7;27;VA;132;;
Der;Hirsch;trifft;den;Krieger;mit;dem;klobigen;Gewehr.;2;8;28;NA;141;;
Der;Krieger;trifft;den;Hirsch;mit;dem;klobigen;Gewehr.;2;8;28;VA;141;;
Die;Robbe;bespritzt;die;Animateurin;mit;dem;vollen;Eimer.;2;9;29;NA;43;Wer hat den Eimer?;Animateurin/Robbe
Die;Animateurin;bespritzt;die;Robbe;mit;dem;vollen;Eimer.;2;9;29;VA;43;;
Der;Papagei;ärgert;den;Pilger;mit;dem;spitzen;Schnabel.;2;10;210;VA;2;Wer wird ge�rgert?;Pilger/Papagei
Der;Pilger;ärgert;den;Papagei;mit;dem;spitzen;Schnabel.;2;10;210;NA;2;;
Der;Beirat;sucht;die;Ämter;mit;den;besten;Arbeitern.;1;11;111;NA;137;Wer hat die besten Arbeiter?;�mter/Beirat
Der;Schüler;kitzelt;den;Kater;mit;dem;weißen;Schnurrhaar.;2;11;211;NA;103;Wer wird gekitzelt?;Kater/Sch�ler
Der;Beirat;besetzt;die;Ämter;mit;den;besten;Arbeitern.;1;11;111;VA;40;;
Der;Kater;kitzelt;den;Schüler;mit;dem;weißen;Schnurrhaar.;2;11;211;VA;103;;
Der;Doktor;grüßt;den;Patient;mit;dem;brandneuen;Stethoskop.;2;12;212;VA;91;Wer hat das Stethoskop?;Doktor/Patient
Der;Patient;grüßt;den;Doktor;mit;dem;brandneuen;Stethoskop.;2;12;212;NA;91;;
Der;Mieter;erwartet;den;Klempner;mit;der;dreckigen;Rohrzange.;2;14;214;NA;77;Wer hat die Rohrzange?;Klempner/Mieter
Der;Camper;mag;die;Suppe;mit;der;frischen;Petersilie.;1;14;114;NA;111;;
Der;Camper;würzt;die;Suppe;mit;der;frischen;Petersilie.;1;14;114;VA;186;;
Der;Klempner;erwartet;den;Mieter;mit;der;dreckigen;Rohrzange.;2;14;214;VA;77;;
Die;Zahnfee;überrascht;die;Tochter;mit;dem;wackeligen;Zahn.;2;15;215;NA;5;Wer wird �berrascht?;Tochter/Zahnfee
Die;Tochter;überrascht;die;Zahnfee;mit;dem;wackeligen;Zahn.;2;15;215;VA;5;;
Die;Chefin;meidet;den;Mitarbeiter;mit;der;faltbaren;Karte.;1;16;116;NA;113;Wer hat die Karte?;Mitarbeiter/Chefin
Das;Maskottchen;umarmt;das;Mädchen;mit;den;pelzigen;Armen.;2;16;216;VA;142;Wer hat pelzige Arme?;Maskottchen/M�dchen
Das;Mädchen;umarmt;das;Maskottchen;mit;den;pelzigen;Armen.;2;16;216;NA;142;;
Die;Cousine;verschenkt;die;Reifen;mit;dem ;feinen;Flickzeug.;1;19;119;NA;168;;
Die;Cousine;erneuert;die;Reifen;mit;dem ;feinen;Flickzeug.;1;19;119;VA;69;;
Der;Sänger;winkt;dem;Fan;mit;der;akustischen;Gitarre.;2;21;221;VA;188;Wem wird gewunken?;Fan/S�nger
Der;Fan;winkt;dem;Sänger;mit;der;akustischen;Gitarre.;2;21;221;NA;188;;
Die;Diebin;rettet;ihren;Komplizen;mit;der;einzigen;Pistole.;1;23;123;VA;124;Wer hat die Pistole?;Diebin/Komplize
Die;Diebin;beneidet;ihren;Komplizen;mit;der;einzigen;Pistole.;1;23;123;NA;29;;
Der;Dirigent;folgt;dem;Musiker;mit;der;lieblichen;Geige.;2;23;223;NA;87;;
Der;Musiker;folgt;dem;Dirigent;mit;der;lieblichen;Geige.;2;23;223;VA;87;;
Die;Betreuer;geleiten;die;Senioren;mit;den;klapprigen;Rollatoren.;2;25;225;NA;89;Wer hat Rollatoren?;Senioren/Betreuer
Die;Senioren;geleiten;die;Betreuer;mit;den;klapprigen;Rollatoren.;2;25;225;VA;89;;
Der;Sanitäter;holt;den;Urlauber;mit;der;faltbaren;Trage.;2;26;226;VA;95;Wer wird geholt?;Urlauber/Sanit�ter
Der;Urlauber;holt;den;Sanitäter;mit;der;faltbaren;Trage.;2;26;226;NA;95;;
Der;Reiter;überholt;den;Biker;mit;dem;schweren;Motorrad.;2;27;227;NA;3;Wer wird �berholt?;Biker/Reiter
Der;Biker;überholt;den;Reiter;mit;dem;schweren;Motorrad.;2;27;227;VA;3;;
Die;Mütter;bedrängen;die;Obsthändler;mit;den;sperrigen;Kinderwägen.;2;28;228;VA;12;Wer wird bedr�ngt?;Obsth�ndler/M�tter
Der;Förster;befördert;das;Holz;mit;der;roten;Markierung.;1;28;128;NA;15;Wer wird bef�rdert?;Holz/F�rster
Der;Förster;markiert;das;Holz;mit;der;roten;Markierung.;1;28;128;VA;112;;
Die;Obsthändler;bedrängen;die;Mütter;mit;den;sperrigen;Kinderwägen.;2;28;228;NA;12;;
Die;Fotografen;benötigen;eine;Kamera;mit;dem;wertigen;Objektiv.;1;29;129;NA;28;;
Die;Fotografen;erweitern;eine;Kamera;mit;dem;wertigen;Objektiv.;1;29;129;VA;78;;
Die;Gärtnerin;kennt;die;Dame;mit;den;weißen;Rosen.;1;31;131;NA;102;Wer hat die wei�en Rosen?;Dame/G�rtnerin
