﻿determiner,N0,Verb,determiner,N1,preposition,determiner,adjective,N2,condition,Pair number,ID,"attachment (verb attached - VA, noun attached - NA",Question,Answer
Die,Tochter,überrascht,die,Zahnfee,mit,dem,wackeligen,Zahn,2,17,217,VA,,
Der,Gast,isst,den,Hummer,mit,einer,speziellen,Gabel,3,1,31,VA,Wer hat die Gabel?,Gast/Hummer
Die,Designerin,zeichnet,das,Poster,mit,einem,duennen,Filzstift,3,4,34,VA,Wer hat den Filzstift?,Designerin/Poster
Die,Familie,besichtigt,die,Huette,mit,dem,teuren,Kamin,3,2,32,NA,Wer hat einen Kamin?,Familie/Huette
Der,Akrobat,beobachtet,den,Clown,mit,dem,elastischen,Hammer,1,1,11,NA,,
Das,Mädchen,umarmt,das ,Maskottchen,mit,den,pelzigen,Armen,2,18,218,NA,,
Das,Maskottchen,umarmt,das ,Mädchen,mit,den,pelzigen,Armen,2,18,218,VA,,
Der,Akrobat,verprügelt,den,Clown,mit,dem,elastischen,Hammer,1,1,11,VA,,
Die,Zahnfee,überrascht,die,Tochter,mit,dem,wackeligen,Zahn,2,17,217,NA,,
Das,Amt,belohnt,einen,Arbeiter,mit,einer,höheren,Position,1,2,12,VA,,
Der,Nussknacker,knackt,die,Nuss,mit,dem,weichen,Kern,3,3,33,NA,Wer hat einen weichen Kern?,Nuss/Nussknacker
Das,Amt,empfiehlt,einen,Arbeiter,mit,einer,höheren,Position,1,2,12,NA,,
